,name,address,tel
245,연수이마트,인천 연수구 동춘동 926-9,032-224-3500
246,연신내,서울 은평구 갈현동 456-28,02-6215-7100
247,연희 DT,인천 서구 심곡동 255-2,032-262-5100
248,염창 DT점,서울 강서구 염창동 280-11,02-6359-5900
249,영등포,서울 영등포구 영등포동3가 10-4,02-6335-3900
250,영천DT,경북 영천시 망정동 206-9,054-927-2100
251,오리역점,경기 성남시 분당구 구미동 157,031-602-3200
252,오산DT점,경기 오산시 원동 372-5,031-8058-0700
253,오산세교DT점,경기 오산시 내삼미동 466-1,031-8058-1400
254,옥포SK DT,경남 거제시 옥포동 551-1,055-950-1400
255,외대,서울 동대문구 이문동 305-2,02-6212-4500
256,용봉DT,광주 북구 용봉동 1130-8,062-419-2300
257,용산 DT,대구 달서구 용산동 934,053-267-7400
258,용인DT,경기 용인시 처인구 김량장동 177-9,031-8097-3800
259,용인동백DT,경기 용인시 기흥구 상하동 455-2,031-8081-2000
260,용인마북 DT,경기 용인시 기흥구 마북동 552-4,031-8081-4000
261,용인보라DT,경기 용인시 기흥구 하갈동 142-8,031-302-3900
262,용인수지DT,경기 용인시 수지구 풍덕천동 43-5,031-8031-9200
263,용인시청DT,경기 용인시 처인구 삼가동 250-34,031-328-3000
264,용인신갈DT,경기 용인시 기흥구 영덕동 40-2,031-8081-8000
265,우장산DT,서울시 강서구 화곡동 1026,02-6091-2100
266,울산 굴화DT점,울산 울주군 범서읍 굴화리 28-8,070-7209-0602
267,울산 병영,울산 중구 남외동 441-2,052-915-6500
268,울산 삼산로 DT,울산 남구 달동 1253-1,052-939-7500
269,울산 일산 DT,울산 동구 일산동 951-5,052-915-9500
270,울산SK DT,울산 남구 달동 819,052-931-7600
271,울산삼산DT,울산 남구 삼산동 1550-7,052-939-6500
272,울산서동DT,울산 중구 서동 53-3,052-912-3800
273,울산옥동 DT,울산 남구 신정동 1639-36,052-939-8500
274,울산옥현,울산 남구 무거동 487-1,052-955-7200
275,울산호계SK DT점,울산 북구 신천동 452-1,052-939-9500
276,웅상DT,경남 양산시 삼호동 1016-9,055-913-1800
277,원동점,부산 동래구 안락동 65-2,051-915-5800
278,원주단계DT,강원 원주시 단계동 879-1,033-900-6500
279,원주단구DT,강원 원주시 단구동 1026-16,033-900-6400
280,위례신도시,서울 송파구 장지동 896,02-6218-8200
281,의왕오전DT,경기 의왕시 오전동 207-1,031-344-1000
282,의정부GS DT점,경기 의정부시 호원동 435,031-8083-1400
283,의정부금오DT점,경기 의정부시 금오동 99-6,031-823-5300
284,의정부녹양DT점,경기 의정부시 가능동 106-1,031-824-1600
285,의정부만가대 DT점,경기 의정부시 용현동 60-1,031-824-8000
286,의정부역,경기 의정부시 의정부동 194-10,031-825-7000
287,이마트 포항점,경북 포항시 남구 인덕동 161-176,054-610-1600
288,이천 DT,경기 이천시 중리동 461-3,031-694-6000
289,이태원,서울 용산구 이태원동 56-21,02-6743-1200
290,익산영등DT점,전북 익산시 영등동 747-8,063-915-9500
291,인천간석DT점,인천 부평구 십정동 162-17,032-267-1600
292,인천계산DT,인천 계양구 계산동 1083-3,032-262-7800
293,인천구산 DT,인천 부평구 구산동 1-4,032-299-9500
294,인천구월DT점,인천 남동구 구월동 1120-16,032-212-9300
295,인천삼산DT점,인천 부평구 삼산동 226-7,032-277-6700
296,인천영종하늘도시,인천 중구 중산동 1886-24,032-238-6900
297,인천옥련 DT점,인천 연수구 옥련동 265-29,032-226-6100
298,인천청라DT,인천 서구 청라동 208-3,032-263-2400
299,잠실역,서울 송파구 신천동 7-25,02-6435-6400
300,장안사거리점,서울 동대문구 장안동 308-4,02-6213-1200
301,전남대 DT,광주 북구 용봉동 127-1,062-462-3200
302,전농,서울 동대문구 전농동 295-96,02-6215-7200
303,전북정읍DT,전북 정읍시 수성동 524-17,063-927-3600
304,전주덕진 DT,전북 전주시 덕진구 덕진동1가 1401-18,063-905-3400
305,전주송천 DT,전북 전주시 덕진구 송천동2가 527,063-901-7500
306,전주인후DT점,전북 전주시 덕진구 인후동2가 1529-4,070-7017-6511
307,전주중화산 DT점,전북 전주시 완산구 중화산동2가 648-11,063-903-3600
308,전주평화 DT,전북 전주시 완산구 평화동1가 732-1,063-901-4500
309,전주효자 DT,전북 전주시 완산구 효자동1가 411-24,063-901-6400
310,정발산,경기 고양시 일산동구 장항동 770-2,031-812-5700
311,제주공항DT점,제주특별자치도 제주시 용담이동 1787,064-901-2800
312,제주노형 DT,제주특별자치도 제주시 노형동 903-5,064-901-7200
313,제주도남DT,제주특별자치도 제주시 도남동 419,064-901-7600
314,제주서귀포DT,제주특별자치도 서귀포시 서귀동 284-29,064-901-2400
315,제주시청DT,제주특별자치도 제주시 이도이동 1057-2,064-901-3900
316,제주외도DT,제주특별자치도 제주시 외도이동 345-1,064-901-9200
317,제주월드컵스타디움DT,제주특별자치도 서귀포시 강정동 231-1,064-901-2700
318,제주일도 DT,제주특별자치도 제주시 일도이동 369-11,064-901-2900
319,제주중문DT,제주특별자치도 서귀포시 색달동 2558-1,064-900-3100
